Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,1,3,2,2,3,1,5,1,3,1.335,1144,1.625,0.061
1,0,5,4,1,1,1,6,1,2,1.541,1291,3.714,0.105
1,1,3,4,2,4,1,4,1,0,2.594,1887,2.333,0.0
1,1,3,1,2,3,1,5,1,0,2.175,816,2.5,0.0
1,1,2,4,2,2,1,3,1,2,1.376,1088,0.846,0.311
1,1,3,1,1,3,1,5,2,0,3.355,1350,1.182,0.113
1,1,2,4,1,4,1,6,3,3,1.524,1441,0.882,0.144
1,1,1,3,1,4,1,3,6,0,3.397,1539,3.25,0.0
1,0,2,4,2,1,1,5,2,2,1.19,1570,0.611,0.279
1,1,4,5,1,4,1,6,2,3,1.708,1671,0.929,0.078
1,1,1,2,2,2,1,2,2,3,1.831,1336,1.143,0.788
1,1,1,6,3,3,1,5,2,0,0.906,1178,0.929,0.086
0,0,0,4,2,1,1,2,3,3,1.047,692,0.6,0.0
1,1,3,2,2,2,1,4,2,1,1.608,931,1.571,0.152
1,0,3,4,1,1,1,6,1,2,0.797,1051,0.833,0.215
1,1,4,2,2,2,1,6,0,0,0.739,1045,0.9,0.285
1,1,2,1,2,3,1,2,5,1,1.323,1596,1.6,0.69
1,1,4,4,2,3,1,4,1,2,1.726,1589,1.667,0.282
1,0,2,3,2,1,1,5,2,3,1.75,1411,1.0,0.562
1,1,0,4,2,4,1,6,2,2,0.519,1291,0.714,0.135
1,0,1,3,1,1,1,4,2,1,0.51,1407,0.483,0.544
1,0,3,4,2,1,1,6,2,3,1.724,1877,1.176,0.757
1,0,4,2,2,1,3,2,3,3,0.865,966,1.2,0.0
1,1,3,4,1,4,1,2,2,2,1.042,1109,0.474,0.018
1,0,1,3,1,2,2,3,2,3,1.449,1756,1.2,0.145
1,1,3,2,2,3,1,5,2,1,1.214,1756,1.0,0.0
1,1,4,1,1,4,1,3,2,3,1.621,1444,1.333,0.0
1,1,2,6,2,3,1,6,2,0,2.316,1741,0.588,0.626
